show_id,title,type,release_year,genre,country,rating,duration_min,views_millions,duration_group
s0001,Netflix Title 1,Movie,0.0,Documentary,India,0.24444444444444424,0.12711864406779663,0.7362459546925567,Short
s0002,Netflix Title 2,Movie,0.8666666666666742,Drama,USA,0.0888888888888888,0.2288135593220339,0.5032362459546926,Short
s0003,Netflix Title 3,Movie,0.4000000000000057,Documentary,Spain,0.7111111111111108,0.43220338983050854,0.21642394822006475,Short
s0004,Netflix Title 4,TV Show,0.0,Romance,Japan,0.15555555555555545,0.44067796610169496,0.3369741100323625,Short
s0005,Netflix Title 5,Movie,0.4000000000000057,Romance,India,0.11111111111111094,0.38983050847457634,0.09182847896440131,Short
s0006,Netflix Title 6,TV Show,0.5333333333333314,Romance,USA,0.7333333333333334,0.5593220338983051,0.1201456310679612,Short
s0007,Netflix Title 7,TV Show,0.13333333333332575,Sci-Fi,India,0.822222222222222,0.652542372881356,0.8863268608414241,Short
s0008,Netflix Title 8,TV Show,0.4000000000000057,Documentary,USA,0.04444444444444429,0.2288135593220339,0.7730582524271846,Short
s0009,Netflix Title 9,Movie,0.46666666666666856,Romance,USA,0.37777777777777777,0.47457627118644075,0.6347087378640778,Short
s0010,Netflix Title 10,TV Show,0.3333333333333428,Action,India,0.19999999999999996,0.2711864406779661,0.7014563106796118,Short
s0011,Netflix Title 11,Movie,0.3333333333333428,Sci-Fi,Spain,0.24444444444444424,0.48305084745762716,0.3766181229773463,Short
s0012,Netflix Title 12,Movie,0.6666666666666572,Romance,Japan,0.7777777777777777,0.2288135593220339,0.8220064724919095,Short
s0013,Netflix Title 13,TV Show,0.8000000000000114,Action,USA,0.19999999999999996,1.0,0.5655339805825244,Short
s0014,Netflix Title 14,TV Show,0.4000000000000057,Documentary,Canada,0.3999999999999999,0.9745762711864409,0.641990291262136,Short
s0015,Netflix Title 15,Movie,0.5333333333333314,Comedy,UK,0.7555555555555555,0.5593220338983051,0.2588996763754046,Short
s0016,Netflix Title 16,TV Show,0.8000000000000114,Action,UK,1.0,0.12711864406779663,0.5076860841423949,Short
s0017,Netflix Title 17,Movie,0.06666666666666288,Romance,USA,0.15555555555555545,0.1525423728813559,0.7920711974110033,Short
s0018,Netflix Title 18,TV Show,0.13333333333332575,Thriller,Canada,0.5999999999999999,0.48305084745762716,0.5271035598705502,Short
s0019,Netflix Title 19,Movie,0.19999999999998863,Documentary,South Korea,0.7555555555555555,0.8135593220338985,0.6399676375404532,Short
s0020,Netflix Title 20,Movie,0.5999999999999943,Thriller,UK,0.4444444444444442,0.7627118644067797,0.8766181229773464,Short
s0021,Netflix Title 21,TV Show,0.3333333333333428,Sci-Fi,USA,0.8666666666666667,0.3050847457627119,0.8422330097087379,Short
s0022,Netflix Title 22,Movie,0.2666666666666515,Action,Japan,0.15555555555555545,0.8220338983050849,0.9235436893203884,Short
s0023,Netflix Title 23,Movie,0.6666666666666572,Thriller,USA,0.11111111111111094,0.37288135593220345,0.8794498381877024,Short
s0024,Netflix Title 24,TV Show,0.46666666666666856,Drama,UK,0.8888888888888888,0.06779661016949147,0.08050161812297736,Short
s0025,Netflix Title 25,TV Show,0.13333333333332575,Romance,South Korea,0.7555555555555555,0.1186440677966101,0.6589805825242719,Short
s0026,Netflix Title 26,Movie,0.5333333333333314,Sci-Fi,Japan,0.5999999999999999,0.21186440677966106,0.9300161812297736,Short
s0027,Netflix Title 27,Movie,0.5999999999999943,Thriller,Spain,0.6444444444444444,0.4576271186440679,0.900485436893204,Short
s0028,Netflix Title 28,TV Show,0.19999999999998863,Comedy,UK,0.06666666666666643,0.0,0.5869741100323626,
s0029,Netflix Title 29,Movie,0.46666666666666856,Drama,USA,0.7111111111111108,0.04237288135593221,0.22491909385113273,Short
s0030,Netflix Title 30,Movie,0.6666666666666572,Drama,South Korea,0.24444444444444424,0.7033898305084747,0.48341423948220075,Short
s0031,Netflix Title 31,Movie,1.0,Comedy,Japan,0.46666666666666634,0.4237288135593221,0.18608414239482202,Short
s0032,Netflix Title 32,Movie,0.8666666666666742,Action,Canada,0.3999999999999999,0.9152542372881357,0.7285598705501619,Short
s0033,Netflix Title 33,Movie,0.06666666666666288,Thriller,Spain,0.33333333333333326,0.9152542372881357,0.10436893203883496,Short
s0034,Netflix Title 34,Movie,0.4000000000000057,Sci-Fi,Canada,0.13333333333333308,0.17796610169491525,0.2750809061488674,Short
s0035,Netflix Title 35,Movie,0.13333333333332575,Thriller,Japan,0.8666666666666667,0.576271186440678,0.09304207119741101,Short
s0036,Netflix Title 36,Movie,0.13333333333332575,Romance,Japan,0.24444444444444424,0.4237288135593221,0.48341423948220075,Short
s0037,Netflix Title 37,Movie,0.8000000000000114,Drama,UK,0.37777777777777777,0.39830508474576276,0.261326860841424,Short
s0038,Netflix Title 38,TV Show,0.5999999999999943,Thriller,Spain,0.9555555555555557,0.8305084745762713,0.5542071197411004,Short
s0039,Netflix Title 39,TV Show,0.2666666666666515,Comedy,India,0.2222222222222221,0.04237288135593221,0.5776699029126214,Short
s0040,Netflix Title 40,Movie,0.6666666666666572,Drama,USA,0.5777777777777775,0.5254237288135595,0.9203074433656959,Short
s0041,Netflix Title 41,Movie,0.06666666666666288,Sci-Fi,USA,0.8444444444444446,0.050847457627118633,0.5938511326860841,Short
s0042,Netflix Title 42,Movie,0.8000000000000114,Drama,South Korea,0.24444444444444424,0.6271186440677967,0.03438511326860842,Short
s0043,Netflix Title 43,Movie,0.8666666666666742,Documentary,South Korea,0.5555555555555554,0.3220338983050847,0.9356796116504855,Short
s0044,Netflix Title 44,Movie,0.6666666666666572,Comedy,India,0.3999999999999999,0.7033898305084747,0.6444174757281553,Short
s0045,Netflix Title 45,TV Show,0.6666666666666572,Romance,USA,0.0,0.652542372881356,1.0,Short
s0046,Netflix Title 46,Movie,0.13333333333332575,Sci-Fi,UK,0.5111111111111108,0.1186440677966101,0.9344660194174759,Short
s0047,Netflix Title 47,Movie,0.46666666666666856,Action,India,0.15555555555555545,0.88135593220339,0.5416666666666667,Short
s0048,Netflix Title 48,TV Show,0.0,Documentary,Japan,0.5555555555555554,0.9915254237288137,0.662621359223301,Short
s0049,Netflix Title 49,Movie,0.5333333333333314,Drama,USA,0.7333333333333334,0.14406779661016947,0.26860841423948223,Short
s0050,Netflix Title 50,Movie,0.6666666666666572,Comedy,Spain,0.6444444444444444,0.2627118644067797,0.5032362459546926,Short
s0051,Netflix Title 51,TV Show,0.06666666666666288,Drama,Spain,0.4222222222222223,0.2796610169491525,0.03883495145631068,Short
s0052,Netflix Title 52,TV Show,0.2666666666666515,Documentary,India,0.15555555555555545,0.4576271186440679,0.5501618122977348,Short
s0053,Netflix Title 53,TV Show,0.0,Drama,USA,0.9555555555555557,0.728813559322034,0.9049352750809062,Short
s0054,Netflix Title 54,Movie,0.7333333333333201,Sci-Fi,South Korea,0.15555555555555545,0.1186440677966101,0.03640776699029127,Short
s0055,Netflix Title 55,TV Show,0.06666666666666288,Action,UK,0.6888888888888887,0.7033898305084747,0.09789644012944987,Short
s0056,Netflix Title 56,TV Show,0.2666666666666515,Comedy,Japan,0.15555555555555545,0.8474576271186441,0.8110841423948222,Short
s0057,Netflix Title 57,TV Show,0.0,Comedy,Spain,0.9333333333333331,0.8305084745762713,0.9320388349514565,Short
s0058,Netflix Title 58,Movie,0.5333333333333314,Comedy,Japan,0.7111111111111108,0.38983050847457634,0.8729773462783172,Short
s0059,Netflix Title 59,TV Show,0.46666666666666856,Comedy,Japan,0.911111111111111,0.3559322033898305,0.30177993527508096,Short
s0060,Netflix Title 60,Movie,0.46666666666666856,Drama,Spain,0.19999999999999996,0.33898305084745767,0.2750809061488674,Short
s0061,Netflix Title 61,Movie,0.5333333333333314,Action,Spain,0.5111111111111108,0.7118644067796611,0.9826051779935276,Short
s0062,Netflix Title 62,TV Show,0.0,Drama,India,0.1777777777777776,0.2627118644067797,0.03276699029126214,Short
s0063,Netflix Title 63,TV Show,0.7333333333333201,Documentary,Japan,0.3111111111111111,0.6355932203389831,0.9858414239482202,Short
s0064,Netflix Title 64,Movie,0.8000000000000114,Sci-Fi,UK,0.24444444444444424,0.7457627118644068,0.4336569579288026,Short
s0065,Netflix Title 65,Movie,0.7333333333333201,Thriller,USA,0.9555555555555557,0.9745762711864409,0.3268608414239483,Short
s0066,Netflix Title 66,TV Show,0.19999999999998863,Documentary,India,0.5111111111111108,0.7033898305084747,0.40574433656957937,Short
s0067,Netflix Title 67,TV Show,0.5999999999999943,Sci-Fi,UK,0.19999999999999996,0.7033898305084747,0.941747572815534,Short
s0068,Netflix Title 68,Movie,0.5999999999999943,Thriller,South Korea,0.8444444444444446,0.3050847457627119,0.2831715210355988,Short
s0069,Netflix Title 69,TV Show,0.6666666666666572,Thriller,Canada,0.4444444444444442,0.21186440677966106,0.5093042071197412,Short
s0070,Netflix Title 70,Movie,0.13333333333332575,Action,South Korea,0.6666666666666665,0.652542372881356,0.33211974110032366,Short
s0071,Netflix Title 71,Movie,0.5999999999999943,Comedy,Japan,0.19999999999999996,0.00847457627118642,0.040857605177993535,Short
s0072,Netflix Title 72,TV Show,0.13333333333332575,Thriller,Canada,0.8888888888888888,0.6016949152542375,0.19012944983818772,Short
s0073,Netflix Title 73,TV Show,1.0,Thriller,UK,0.15555555555555545,0.728813559322034,0.0,Short
s0074,Netflix Title 74,Movie,0.8666666666666742,Comedy,UK,0.7999999999999998,0.7372881355932204,0.5161812297734628,Short
s0075,Netflix Title 75,Movie,0.46666666666666856,Romance,USA,0.46666666666666634,0.8474576271186441,0.4623786407766991,Short
s0076,Netflix Title 76,TV Show,0.9333333333333371,Sci-Fi,Japan,0.7111111111111108,0.5254237288135595,0.42435275080906154,Short
s0077,Netflix Title 77,TV Show,0.3333333333333428,Documentary,Japan,0.46666666666666634,0.2627118644067797,0.7516181229773463,Short
s0078,Netflix Title 78,TV Show,1.0,Documentary,UK,0.2666666666666666,0.05932203389830505,0.7131877022653722,Short
s0079,Netflix Title 79,Movie,0.5333333333333314,Action,India,0.8888888888888888,0.06779661016949147,0.13389967637540456,Short
s0080,Netflix Title 80,Movie,0.8000000000000114,Documentary,UK,0.7111111111111108,0.050847457627118633,0.41221682847896446,Short
s0081,Netflix Title 81,TV Show,0.9333333333333371,Thriller,USA,0.19999999999999996,0.43220338983050854,0.3867313915857606,Short
s0082,Netflix Title 82,Movie,0.8000000000000114,Thriller,USA,0.9333333333333331,0.3050847457627119,0.7532362459546926,Short
s0083,Netflix Title 83,TV Show,0.46666666666666856,Thriller,UK,0.2666666666666666,0.5084745762711864,0.023462783171521034,Short
s0084,Netflix Title 84,TV Show,0.8000000000000114,Documentary,UK,0.8444444444444446,0.9745762711864409,0.12297734627831716,Short
s0085,Netflix Title 85,Movie,0.8000000000000114,Sci-Fi,South Korea,0.6666666666666665,0.06779661016949147,0.6415857605177995,Short
s0086,Netflix Title 86,Movie,0.9333333333333371,Comedy,USA,0.2666666666666666,0.33050847457627125,0.20752427184466024,Short
s0087,Netflix Title 87,TV Show,0.6666666666666572,Romance,Canada,0.28888888888888875,0.88135593220339,0.41909385113268616,Short
s0088,Netflix Title 88,Movie,1.0,Drama,Spain,0.5333333333333332,0.3559322033898305,0.22006472491909387,Short
s0089,Netflix Title 89,Movie,0.06666666666666288,Romance,USA,0.9555555555555557,0.19491525423728812,0.8398058252427185,Short
s0090,Netflix Title 90,Movie,0.46666666666666856,Comedy,Canada,0.6666666666666665,0.5932203389830508,0.9490291262135924,Short
s0091,Netflix Title 91,TV Show,0.5333333333333314,Romance,India,0.1777777777777776,0.6355932203389831,0.9652103559870552,Short
s0092,Netflix Title 92,Movie,0.3333333333333428,Action,USA,0.5777777777777775,0.9830508474576273,0.30865695792880266,Short
